,Unnamed: 0,Make,Model,Variant,Cylinders,Doors,Seating_Capacity,Gears,Ex-Showroom_Price,Fuel_Type,Drivetrain,Displacement,City_Mileage,Kerb_Weight,Cylinder_Configuration,Doors.1,Body_Type,Emission_Norm,Fuel_System,Fuel_Tank_Capacity,Height,Length,Width,Front_Brakes,Rear_Brakes,Power_Steering,Power,Torque,Odometer,Speedometer,Type,Wheelbase,Handbrake,Launch_Date
312,312,Toyota,Land Cruiser Prado,Vx L,4.0,5.0,7.0,5,"Rs. 96,30,000",Diesel,4WD,2982 cc,7 km/litre,,In-line,5.0,SUV,BS IV,Injection,87 litres,1880 mm,4840 mm,1885 mm,Ventilated Disc,Ventilated Disc,Electric Power,173PS@3400rpm,410Nm@1600-2800rpm,Digital,Analog,Automatic,2790 mm,Manual,2020-04-09
313,313,Lexus,Rx 450H,450Hl Luxury,6.0,4.0,5.0,,"Rs. 99,00,000",Petrol,AWD (All Wheel Drive),3456 cc,18.8 km/litre,2195 kg,V,4.0,SUV,BS IV,Injection,65 litres,1700 mm,5000 mm,1895 mm,Ventilated Disc,Ventilated Disc,Electric Power,262PS@6000rpm,335Nm@4600rpm,Digital,Analog,Automatic,2790 mm,Automatic,2019-07-19
314,314,Audi,Rs5,Coupe,8.0,2.0,4.0,7,"Rs. 1,11,41,200",Petrol,AWD (All Wheel Drive),2894 cc,,1770 kg,In-line,2.0,Coupe,BS IV,Injection,58 litres,,4649 mm,,Ventilated Disc,Ventilated Disc,Electric Power,450PS@5700-6700rpm,600Nm@1900-5000rpm,Digital,Analog,Automatic,,Automatic,2020-11-22
315,315,Bmw,7-Series,730Ld Design Pure Excellence,6.0,4.0,4.0,8,"Rs. 1,22,90,000",Diesel,AWD (All Wheel Drive),2993 cc,13.5 km/litre,,V,4.0,Sedan,BS 6,Injection,78 litres,1479 mm,5120 mm,2169 mm,Ventilated Disc,Ventilated Disc,Hydraulic Power,265PS@4000RPM,620Nm@2000-2500RPM,Digital,"Analog, Digital",Automatic,3210 mm,Automatic,2021-02-06
316,316,Bmw,7-Series,730Ld Design Pure Excellence Signature,6.0,4.0,4.0,8,"Rs. 1,32,00,000",Diesel,AWD (All Wheel Drive),2993 cc,13.5 km/litre,,V,4.0,Sedan,BS 6,Injection,78 litres,1479 mm,5120 mm,2169 mm,Ventilated Disc,Ventilated Disc,Hydraulic Power,265PS@4000RPM,620Nm@2000-2500RPM,Digital,Analog,Automatic,3210 mm,Automatic,2019-10-18
317,317,Bmw,7-Series,730Ld M Sport,6.0,4.0,4.0,8,"Rs. 1,35,10,000",Diesel,AWD (All Wheel Drive),2993 cc,13.5 km/litre,,V,4.0,Sedan,BS 6,Injection,78 litres,1479 mm,5120 mm,2169 mm,Ventilated Disc,Ventilated Disc,Electric Power,265PS@4000RPM,620Nm@2000-2500RPM,Digital,Analog,Automatic,3210 mm,Automatic,2020-03-12
318,318,Bmw,7-Series,740Li Design Pure Excellence Signature,6.0,4.0,4.0,8,"Rs. 1,35,10,000",Petrol,AWD (All Wheel Drive),2998 cc,,,V,4.0,Sedan,BS 6,Injection,78 litres,1479 mm,5120 mm,2169 mm,Ventilated Disc,Ventilated Disc,Hydraulic Power,340PS@5500-6500RPM,450Nm@1500-5200rpm,Digital,Analog,Automatic,3210 mm,Automatic,2022-03-20
319,319,Bmw,7-Series,745Le Xdrive,6.0,4.0,4.0,8,"Rs. 1,65,00,000",Hybrid,AWD (All Wheel Drive),2998 cc,,,V,4.0,Sedan,BS 6,Injection,46 litres,1481 mm,5219 mm,2142 mm,Ventilated Disc,Ventilated Disc,Hydraulic Power,286PS@5000-6000RPM,450Nm@1380-5000RPM,Digital,Analog,Automatic,3110 mm,Automatic,2021-08-15
320,320,Bmw,7-Series,M760Li Xdrive,12.0,4.0,4.0,8,"Rs. 2,42,50,000",Petrol,AWD (All Wheel Drive),6592 cc,,,V,4.0,Sedan,BS 6,Injection,78 litres,1481 mm,5219 mm,2142 mm,Ventilated Disc,Ventilated Disc,Hydraulic Power,609PS@5400-6500RPM,850Nm@1550-5000RPM,Digital,Analog,Automatic,3110 mm,Automatic,2019-10-07
321,321,Audi,Q8,55 Tfsi Quattro Tiptronic,4.0,5.0,7.0,8,"Rs. 1,33,59,500",Petrol,AWD (All Wheel Drive),2995 cc,,2115 kg,V,5.0,SUV,BS 6,Injection,85 litres,1740 mm,5052 mm,1968 mm,Ventilated Disc,Ventilated Disc,Electro-Hydraulic,340PS@5000rpm,500Nm@1370rpm,Digital,"Analog, Digital",Automatic,2994 mm,Automatic,2020-07-12
