,Unnamed: 0,Make,Model,Variant,Cylinders,Doors,Seating_Capacity,Gears,Ex-Showroom_Price,Fuel_Type,Drivetrain,Displacement,City_Mileage,Kerb_Weight,Cylinder_Configuration,Doors.1,Body_Type,Emission_Norm,Fuel_System,Fuel_Tank_Capacity,Height,Length,Width,Front_Brakes,Rear_Brakes,Power_Steering,Power,Torque,Odometer,Speedometer,Type,Wheelbase,Handbrake,Launch_Date
0,0,Tata,Nano Genx,Xt,2.0,5.0,4.0,4,"Rs. 2,92,667",Petrol,RWD (Rear Wheel Drive),624 cc,?23.6 km/litre,660 kg,In-line,5.0,Hatchback,BS IV,Injection,24 litres,1652 mm,3164 mm,1750 mm,Drum,Drum,Electric Power,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Manual,2230 mm,Manual,2020-08-06
1,1,Tata,Nano Genx,Xe,2.0,5.0,4.0,4,"Rs. 2,36,447",Petrol,RWD (Rear Wheel Drive),624 cc,?23.6 km/litre,725 kg,In-line,5.0,Hatchback,BS IV,Injection,24 litres,1652 mm,3164 mm,1750 mm,Drum,Drum,,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Manual,2230 mm,Manual,2020-09-21
2,2,Tata,Nano Genx,Emax Xm,2.0,4.0,4.0,4,"Rs. 2,96,661",CNG,RWD (Rear Wheel Drive),624 cc,,710 kg,In-line,4.0,Hatchback,BS IV,Injection,15 litres,1652 mm,3164 mm,1750 mm,Drum,Drum,Electric Power,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Manual,2230 mm,Manual,2019-08-07
3,3,Tata,Nano Genx,Xta,2.0,5.0,4.0,5,"Rs. 3,34,768",Petrol,RWD (Rear Wheel Drive),624 cc,?23.6 km/litre,725 kg,In-line,5.0,Hatchback,BS IV,Injection,24 litres,1652 mm,3164 mm,1750 mm,Drum,Drum,Electric Power,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Automatic,2230 mm,Manual,2020-11-28
4,4,Tata,Nano Genx,Xm,2.0,5.0,4.0,4,"Rs. 2,72,223",Petrol,RWD (Rear Wheel Drive),624 cc,?23.6 km/litre,725 kg,In-line,5.0,Hatchback,BS IV,Injection,24 litres,1652 mm,3164 mm,1750 mm,Drum,Drum,Electric Power,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Manual,2230 mm,Manual,2020-11-23
5,5,Tata,Nano Genx,Xma,2.0,5.0,4.0,5,"Rs. 3,14,815",Petrol,RWD (Rear Wheel Drive),624 cc,?23.6 km/litre,710 kg,In-line,5.0,Hatchback,BS IV,Injection,24 litres,1652 mm,3164 mm,1750 mm,Drum,Drum,Electric Power,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Automatic,2230 mm,Manual,2021-10-20
6,6,Datsun,Redi-Go,D,3.0,5.0,5.0,5,"Rs. 2,79,650",Petrol,FWD (Front Wheel Drive),799 cc,21.38 km/litre,,In-line,5.0,Hatchback,BS IV,Injection,28 litres,1541 mm,3429 mm,1560 mm,Ventilated Disc,Drum,,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Manual,2348 mm,Manual,2019-09-29
7,7,Datsun,Redi-Go,T,3.0,5.0,5.0,5,"Rs. 3,51,832",Petrol,FWD (Front Wheel Drive),799 cc,21.38 km/litre,,In-line,5.0,Hatchback,BS IV,Injection,28 litres,1541 mm,3429 mm,1560 mm,Ventilated Disc,Drum,Electric Power,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Manual,2348 mm,Manual,2021-11-07
8,8,Datsun,Redi-Go,A,3.0,5.0,5.0,5,"Rs. 3,33,419",Petrol,FWD (Front Wheel Drive),799 cc,21.38 km/litre,,In-line,5.0,Hatchback,BS IV,Injection,28 litres,1541 mm,3429 mm,1560 mm,Ventilated Disc,Drum,Electric Power,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Manual,2348 mm,Manual,2020-08-06
9,9,Datsun,Redi-Go,S,3.0,5.0,5.0,5,"Rs. 3,62,000",Petrol,FWD (Front Wheel Drive),799 cc,21.38 km/litre,,In-line,5.0,Hatchback,BS IV,Injection,28 litres,1541 mm,3429 mm,1560 mm,Ventilated Disc,Drum,Electric Power,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Manual,2348 mm,Manual,2021-01-24
10,10,Datsun,Redi-Go,1.0 S,3.0,5.0,5.0,5,"Rs. 3,90,000",Petrol,FWD (Front Wheel Drive),999 cc,,,In-line,5.0,Hatchback,BS IV,Injection,28 litres,1541 mm,3429 mm,1560 mm,Ventilated Disc,Drum,Electric Power,68PS@5500rpm,91Nm@4250RPM,Digital,Analog,Manual,2348 mm,Manual,2020-07-09
11,11,Datsun,Redi-Go,1.0 S Amt,3.0,5.0,5.0,5,"Rs. 4,37,065",Petrol,FWD (Front Wheel Drive),999 cc,,,In-line,5.0,Hatchback,BS IV,Injection,28 litres,1541 mm,3429 mm,1560 mm,Ventilated Disc,Drum,Electric Power,68PS@5500rpm,91Nm@4250RPM,Digital,Analog,Automatic,2348 mm,Manual,2019-06-02
12,12,Renault,Kwid,Rxe 0.8,3.0,5.0,5.0,6,"Rs. 3,53,290",Petrol,FWD (Front Wheel Drive),799 cc,25.17 km/litre,669 kg,In-line,5.0,Hatchback,BS 6,Injection,28 litres,1490 mm,3731 mm,1579 mm,Ventilated Disc,Drum,,54PS@5678rpm,72Nm@4386rpm,Digital,Digital,Manual,2422 mm,Manual,2021-09-10
13,13,Renault,Kwid,Std 0.8,3.0,5.0,5.0,5,"Rs. 2,83,290",Petrol,FWD (Front Wheel Drive),799 cc,25.17 km/litre,669 kg,In-line,5.0,Hatchback,BS 6,Injection,28 litres,1490 mm,3731 mm,1579 mm,Ventilated Disc,Drum,,54PS@5678rpm,72Nm@4386rpm,Digital,Digital,Manual,2442 mm,Manual,2021-07-15
14,14,Renault,Kwid,Rxl 0.8,3.0,5.0,5.0,5,"Rs. 3,83,290",Petrol,FWD (Front Wheel Drive),799 cc,25.17 km/litre,669 kg,In-line,5.0,Hatchback,BS 6,Injection,28 litres,1490 mm,3731 mm,1579 mm,Ventilated Disc,Drum,Electric Power,54PS@5678rpm,72Nm@4386rpm,Digital,Digital,Manual,2422 mm,Manual,2021-10-13
15,15,Renault,Kwid,Rxt 0.8,3.0,5.0,5.0,5,"Rs. 4,13,290",Petrol,FWD (Front Wheel Drive),799 cc,25.17 km/litre,669 kg,In-line,5.0,Hatchback,BS 6,Injection,28 litres,1490 mm,3731 mm,1580 mm,Ventilated Disc,Drum,Electric Power,54PS@5678rpm,72Nm@4386rpm,Digital,Digital,Manual,2422 mm,Manual,2021-02-01
16,16,Renault,Kwid,Rxt 1.0,3.0,5.0,5.0,5,"Rs. 4,33,290",Petrol,FWD (Front Wheel Drive),999 cc,25.17 km/litre,669 kg,In-line,5.0,Hatchback,BS 6,Injection,28 litres,1490 mm,3731 mm,1579 mm,Ventilated Disc,Drum,Electric Power,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Manual,2422 mm,Manual,2020-09-28
17,17,Renault,Kwid,Climber 1.0 Mt,3.0,5.0,5.0,5,"Rs. 4,54,490",Petrol,FWD (Front Wheel Drive),999 cc,25.17 km/litre,669 kg,In-line,5.0,Hatchback,BS 6,Injection,28 litres,1490 mm,3731 mm,1579 mm,Ventilated Disc,Drum,Electric Power,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Manual,2422 mm,Manual,2020-10-02
18,18,Renault,Kwid,Rxt Amt 1.0,3.0,5.0,5.0,,"Rs. 4,63,290",Petrol,FWD (Front Wheel Drive),999 cc,25.17 km/litre,669 kg,In-line,5.0,Hatchback,BS 6,Injection,28 litres,1490 mm,3731 mm,1579 mm,Ventilated Disc,Drum,Electric Power,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Automatic,2422 mm,Manual,2019-01-13
19,19,Renault,Kwid,Climber Amt 1.0,3.0,5.0,5.0,,"Rs. 4,84,490",Petrol,FWD (Front Wheel Drive),999 cc,25.17 km/litre,669 kg,In-line,5.0,Hatchback,BS 6,Injection,28 litres,1490 mm,3731 mm,1579 mm,Ventilated Disc,Drum,Electric Power,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Automatic,2422 mm,Manual,2020-02-23
20,20,Renault,Kwid,Rxt (O) 1.0,3.0,5.0,5.0,5,"Rs. 4,40,990",Petrol,FWD (Front Wheel Drive),999 cc,25.17 km/litre,669 kg,In-line,5.0,Hatchback,BS 6,Injection,28 litres,1490 mm,3731 mm,1579 mm,Ventilated Disc,Drum,Electric Power,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Manual,2422 mm,Manual,2021-12-20
21,21,Renault,Kwid,Rxt (O) Amt 1.0,3.0,5.0,5.0,5,"Rs. 4,70,990",Petrol,FWD (Front Wheel Drive),999 cc,25.17 km/litre,669 kg,In-line,5.0,Hatchback,BS 6,Injection,28 litres,1490 mm,3731 mm,1579 mm,Ventilated Disc,Drum,Electric Power,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Automatic,2422 mm,Manual,2019-04-20
22,22,Renault,Kwid,Climber (O) Mt 1.0,3.0,5.0,5.0,5,"Rs. 4,62,190",Petrol,FWD (Front Wheel Drive),999 cc,25.17 km/litre,669 kg,In-line,5.0,Hatchback,BS 6,Injection,28 litres,1490 mm,3731 mm,1579 mm,Ventilated Disc,Drum,Electric Power,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Manual,2422 mm,Manual,2021-03-31
23,23,Renault,Kwid,Climber (O) Amt 1.0,3.0,5.0,5.0,,"Rs. 4,92,190",Petrol,FWD (Front Wheel Drive),999 cc,25.17 km/litre,669 kg,In-line,5.0,Hatchback,BS 6,Injection,28 litres,1490 mm,3731 mm,1579 mm,Ventilated Disc,Drum,Electric Power,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Automatic,2422 mm,Manual,2021-06-09
24,24,Maruti Suzuki,Eeco,5 Str,4.0,5.0,5.0,5,"Rs. 3,52,136",Petrol,RWD (Rear Wheel Drive),1196 cc,12 km/litre,920 kg,In-line,5.0,MPV,BS 6,Injection,40 litres,1800 mm,3675 mm,1475 mm,Ventilated Disc,Drum,,73PS@6000rpm,101Nm@3000rpm,Digital,Analog,Manual,2350 mm,Manual,2022-03-17
25,25,Maruti Suzuki,Eeco,7 Str,4.0,5.0,7.0,5,"Rs. 3,80,573",Petrol,FWD (Front Wheel Drive),1196 cc,12 km/litre,940 kg,In-line,5.0,MPV,BS 6,Injection,40 litres,1800 mm,3675 mm,1475 mm,Ventilated Disc,Drum,,74PS@6000RPM,101Nm@3000rpm,Digital,Analog,Manual,2350 mm,Manual,2021-03-05
26,26,Maruti Suzuki,Eeco,5 Str With Ac+Htr,4.0,5.0,5.0,5,"Rs. 3,92,967",Petrol,RWD (Rear Wheel Drive),1196 cc,11 km/litre,928 kg,In-line,5.0,MPV,BS 6,Injection,40 litres,1800 mm,3675 mm,1475 mm,Ventilated Disc,Drum,,73PS@6000rpm,101Nm@3000rpm,Digital,Analog,Manual,2350 mm,Manual,2020-07-03
27,27,Maruti Suzuki,Eeco,5 Str With Ac+Htr Cng,4.0,5.0,5.0,5,"Rs. 4,66,057",CNG,RWD (Rear Wheel Drive),1196 cc,,1050 kg,In-line,5.0,MPV,BS 6,Injection,40 litres,1800 mm,3675 mm,1475 mm,Ventilated Disc,Drum,,62PS@6000rpm,85Nm@3000rpm,Digital,Analog,Manual,2350 mm,Manual,2021-10-11
28,28,Maruti Suzuki,Eeco,5 Str With Htr Cng,4.0,5.0,5.0,5,"Rs. 4,25,255",CNG,RWD (Rear Wheel Drive),1196 cc,,1030 kg,In-line,5.0,MPV,BS 6,Injection,40 litres,1800 mm,3675 mm,1475 mm,Ventilated Disc,Drum,,62PS@6000rpm,85Nm@3000rpm,Digital,Analog,Manual,2350 mm,Manual,2019-12-28
29,29,Maruti Suzuki,Alto K10,Lxi,3.0,5.0,5.0,5,"Rs. 3,77,588",Petrol,FWD (Front Wheel Drive),998 cc,14 km/litre,745 kg,In-line,5.0,Hatchback,BS IV,Injection,35 litres,1475 mm,3545 mm,1490 mm,Ventilated Disc,Drum,Yes,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,Manual,2360 mm,Manual,2021-04-05
30,30,Maruti Suzuki,Alto K10,Vxi,3.0,5.0,5.0,5,"Rs. 3,94,036",Petrol,FWD (Front Wheel Drive),998 cc,14 km/litre,750 kg,In-line,5.0,Hatchback,BS IV,Injection,35 litres,1475 mm,3545 mm,1490 mm,Ventilated Disc,Drum,Yes,68PS@6200rpm,90Nm@3500rpm,Digital,Analog,Manual,2360 mm,Manual,2020-01-08
31,31,Maruti Suzuki,Alto K10,Lx,3.0,5.0,5.0,5,"Rs. 3,60,843",Petrol,FWD (Front Wheel Drive),998 cc,19 km/litre,740 kg,In-line,5.0,Hatchback,BS IV,Injection,35 litres,1475 mm,3545 mm,1490 mm,Ventilated Disc,Drum,,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,Manual,2360 mm,Manual,2020-11-24
32,32,Maruti Suzuki,Alto K10,Vxi (O),3.0,5.0,5.0,5,"Rs. 4,07,238",Petrol,FWD (Front Wheel Drive),998 cc,14 km/litre,755 kg,In-line,5.0,Hatchback,BS IV,Injection,35 litres,1460 mm,3620 mm,1475 mm,Ventilated Disc,Drum,Yes,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,Manual,2360 mm,Manual,2021-05-17
33,33,Maruti Suzuki,Alto K10,Lxi Cng (O),3.0,5.0,5.0,5,"Rs. 4,39,777",CNG,FWD (Front Wheel Drive),998 cc,,740 kg,In-line,5.0,Hatchback,BS IV,Injection,35 litres,1475 mm,3545 mm,1490 mm,Ventilated Disc,Drum,Yes,59PS@6000rpm,78Nm@3500rpm,Digital,Analog,Manual,2360 mm,Manual,2020-04-28
34,34,Maruti Suzuki,Alto K10,Vxi Amt (O),3.0,5.0,5.0,5,"Rs. 4,38,559",Petrol,FWD (Front Wheel Drive),998 cc,14 km/litre,755 kg,In-line,5.0,Hatchback,BS IV,Injection,35 litres,1475 mm,3545 mm,1490 mm,Ventilated Disc,Drum,Yes,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,Automatic,2360 mm,Manual,2021-07-28
35,35,Datsun,Go,D,3.0,5.0,5.0,5,"Rs. 3,74,990",Petrol,FWD (Front Wheel Drive),1198 cc,,864 kg,In-line,5.0,Hatchback,BS IV,Injection,35 litres,1507 mm,3788 mm,1636 mm,Ventilated Disc,Drum,,68PS@5000rpm,104Nm@4000rpm,Digital,Analog,Manual,2450 mm,Manual,2020-05-31
36,36,Datsun,Go,T,3.0,5.0,5.0,5,"Rs. 4,68,229",Petrol,FWD (Front Wheel Drive),1198 cc,,864 kg,In-line,5.0,Hatchback,BS IV,Injection,35 litres,1507 mm,3788 mm,1636 mm,Ventilated Disc,Drum,Electric Power,68PS@5000rpm,104Nm@4000rpm,Digital,Analog,Manual,2450 mm,Manual,2021-04-14
37,37,Datsun,Go,T (O),3.0,5.0,5.0,5,"Rs. 5,02,492",Petrol,FWD (Front Wheel Drive),1198 cc,20.6 km/litre,864 kg,In-line,5.0,Hatchback,BS IV,Injection,35 litres,1507 mm,3788 mm,1636 mm,Ventilated Disc,Drum,Electric Power,68PS@5000rpm,104Nm@4000rpm,Digital,Analog,Manual,2450 mm,Manual,2020-06-23
38,38,Datsun,Go,A (O),3.0,5.0,5.0,5,"Rs. 4,99,990",Petrol,FWD (Front Wheel Drive),1198 cc,20.6 km/litre,864 kg,In-line,5.0,Hatchback,BS IV,Injection,35 litres,1507 mm,3788 mm,1636 mm,Ventilated Disc,Drum,Electric Power,68PS@5000rpm,104Nm@4000rpm,Digital,Analog,Manual,2450 mm,Manual,2021-09-03
39,39,Datsun,Go,A,3.0,5.0,5.0,5,"Rs. 4,69,990",Petrol,FWD (Front Wheel Drive),1198 cc,20.6 km/litre,864 kg,In-line,5.0,Hatchback,BS IV,Injection,35 litres,1507 mm,3788 mm,1636 mm,Ventilated Disc,Drum,Electric Power,68PS@5000rpm,104Nm@4000rpm,Digital,Analog,Manual,2450 mm,Manual,2020-04-10
40,40,Datsun,Go,T Vdc,3.0,5.0,5.0,5,"Rs. 5,28,464",Petrol,FWD (Front Wheel Drive),1198 cc,,864 kg,In-line,5.0,Hatchback,BS IV,Injection,35 litres,1507 mm,3788 mm,1636 mm,Ventilated Disc,Drum,Electric Power,68PS@5000rpm,104Nm@4000rpm,Digital,Analog,Manual,2450 mm,Manual,2021-12-11
41,41,Datsun,Go,T (O) Vdc,3.0,5.0,5.0,5,"Rs. 5,53,015",Petrol,FWD (Front Wheel Drive),1198 cc,20.6 km/litre,864 kg,In-line,5.0,Hatchback,BS IV,Injection,35 litres,1507 mm,3788 mm,1636 mm,Ventilated Disc,Drum,Electric Power,68PS@5000rpm,104Nm@4000rpm,Digital,Analog,Manual,2450 mm,Manual,2020-09-17
42,42,Datsun,Go,T Cvt,3.0,5.0,5.0,5,"Rs. 5,94,464",Petrol,FWD (Front Wheel Drive),1198 cc,,864 kg,In-line,5.0,Hatchback,BS IV,Injection,35 litres,1507 mm,3788 mm,1636 mm,Ventilated Disc,Drum,Electric Power,78PS@5000rpm,104Nm@4000rpm,Digital,Analog,Manual,2450 mm,Manual,2019-07-07
43,43,Datsun,Go,T (O) Cvt,3.0,5.0,5.0,5,"Rs. 6,18,015",Petrol,FWD (Front Wheel Drive),1198 cc,20.6 km/litre,864 kg,In-line,5.0,Hatchback,BS IV,Injection,35 litres,1507 mm,3788 mm,1636 mm,Ventilated Disc,Drum,Electric Power,78PS@5000rpm,104Nm@4000rpm,Digital,Analog,Manual,2450 mm,Manual,2020-11-28
44,44,Maruti Suzuki,Celerio Tour,H2,3.0,5.0,5.0,5,"Rs. 4,22,444",Petrol,FWD (Front Wheel Drive),998 cc,23 km/litre,830 kg,In-line,5.0,Hatchback,BS IV,Injection,35 litres,1560 mm,3600 mm,1600 mm,Ventilated Disc,Drum,Electric Power,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,Manual,2425 mm,Manual,2019-11-05
45,45,Maruti Suzuki,Celerio Tour,H2 Cng,3.0,5.0,5.0,5,"Rs. 4,80,670",CNG,FWD (Front Wheel Drive),998 cc,,915 kg,In-line,5.0,Hatchback,BS IV,Injection,60 litres,1560 mm,3695 mm,1600 mm,Ventilated Disc,Drum,Electric Power,59bhp@6000rpm,78Nm@3500rpm,Digital,Analog,Manual,2425 mm,Manual,2021-12-02
46,46,Hyundai,Santro,Era Mt,4.0,4.0,5.0,5,"Rs. 4,29,990",Petrol,FWD (Front Wheel Drive),1086 cc,,,In-line,4.0,Hatchback,BS IV,Injection,35 litres,1560 mm,3610 mm,1645 mm,,,Electric Power,69PS@5500rpm,99.04nm@4500RPM,Analog,Analog,Manual,2400 mm,,2021-07-12
47,47,Hyundai,Santro,Magna Mt,4.0,4.0,5.0,5,"Rs. 5,03,990",Petrol,FWD (Front Wheel Drive),1086 cc,,,In-line,4.0,Hatchback,BS IV,Injection,35 litres,1560 mm,3610 mm,1645 mm,,,Electric Power,69PS@5500rpm,99.04nm@4500RPM,Analog,Analog,Manual,2400 mm,,2022-03-16
48,48,Hyundai,Santro,Magna Mt Cng,4.0,4.0,5.0,5,"Rs. 5,47,990",CNG,FWD (Front Wheel Drive),1086 cc,,,In-line,4.0,Hatchback,BS IV,Injection,35 litres,1560 mm,3610 mm,1645 mm,,,Electric Power,59PS@5500RPM,99.04nm@4500RPM,Digital,Digital,Manual,2400 mm,,2019-07-04
49,49,Hyundai,Santro,Magna Amt,4.0,4.0,5.0,5,"Rs. 5,30,990",Petrol,FWD (Front Wheel Drive),1086 cc,,,In-line,4.0,Hatchback,BS IV,Injection,35 litres,1560 mm,3610 mm,1645 mm,Solid Disc,Drum,Electric Power,69PS@5500rpm,10.1kgm@4500RPM,Analog,Analog,AMT,2400 mm,Manual,2021-11-15
50,50,Hyundai,Santro,Sportz Mt,4.0,4.0,5.0,5,"Rs. 5,12,990",Petrol,FWD (Front Wheel Drive),1086 cc,,,In-line,4.0,Hatchback,BS IV,Injection,35 litres,1560 mm,3610 mm,1645 mm,Solid Disc,Drum,Electric Power,69PS@5500rpm,10.1kgm@4500RPM,Analog,Analog,Manual,2400 mm,Manual,2020-12-21
51,51,Hyundai,Santro,Sportz Mt Cng,4.0,4.0,5.0,5,"Rs. 5,78,990",CNG,FWD (Front Wheel Drive),1086 cc,,,In-line,4.0,Hatchback,BS IV,Injection,60 litres,1560 mm,3610 mm,1645 mm,Solid Disc,Drum,Electric Power,59PS@5500RPM,8.3KGM@4500rpm,Analog,Analog,Manual,2400 mm,Manual,2019-12-29
52,52,Hyundai,Santro,Sportz Amt,4.0,4.0,5.0,5,"Rs. 5,70,990",Petrol,FWD (Front Wheel Drive),1086 cc,,,In-line,4.0,Hatchback,BS IV,Injection,35 litres,1560 mm,3610 mm,1645 mm,Solid Disc,Drum,Electric Power,69PS@5500rpm,10.1kgm@4500RPM,Analog,Analog,AMT,2400 mm,Manual,2019-03-27
53,53,Hyundai,Santro,Asta Mt,4.0,4.0,5.0,5,"Rs. 5,56,490",Petrol,FWD (Front Wheel Drive),1086 cc,,,In-line,4.0,Hatchback,BS IV,Injection,35 litres,1560 mm,3610 mm,1645 mm,,,Electric Power,69PS@5500rpm,99.04nm@4500RPM,Analog,Analog,Manual,2400 mm,,2021-11-13
54,54,Tata,Tiago,Revotron Xe,3.0,5.0,5.0,5,"Rs. 4,60,000",Petrol,FWD (Front Wheel Drive),1199 cc,,935 kg,In-line,5.0,Hatchback,BS 6,Injection,35 litres,1535 mm,3765 mm,1677 mm,Ventilated Disc,Drum,Electric Power,86PS@6000rpm,114NM@3300rpm,Digital,Analog,Manual,2400 mm,Manual,2021-11-02
55,55,Tata,Tiago,Revotron Xt,3.0,5.0,5.0,5,"Rs. 5,20,000",Petrol,FWD (Front Wheel Drive),1199 cc,23.84 km/litre,930 kg,In-line,5.0,Hatchback,BS 6,Injection,35 litres,1535 mm,3746 mm,1647 mm,Ventilated Disc,Drum,Electric Power,86PS@6000rpm,114NM@3300rpm,Digital,Analog,Manual,2400 mm,Manual,2019-08-02
56,56,Tata,Tiago,Revotron Xz,3.0,5.0,5.0,5,"Rs. 5,70,000",Petrol,FWD (Front Wheel Drive),1199 cc,23.84 km/litre,930 kg,In-line,5.0,Hatchback,BS 6,Injection,35 litres,1535 mm,3746 mm,1647 mm,Ventilated Disc,Drum,Electric Power,86PS@6000rpm,114NM@3300rpm,Digital,Analog,Manual,2400 mm,Manual,2021-07-31
57,57,Tata,Tiago,Revotron Xz Plus,3.0,5.0,5.0,5,"Rs. 5,99,000",Petrol,FWD (Front Wheel Drive),1199 cc,23.84 km/litre,930 kg,In-line,5.0,Hatchback,BS 6,Injection,35 litres,1535 mm,3746 mm,1647 mm,Ventilated Disc,Drum,Electric Power,86PS@6000rpm,114NM@3300rpm,Digital,Analog,Manual,2400 mm,Manual,2021-03-14
58,58,Tata,Tiago,Revotron Xz Plus Dual Tone,3.0,5.0,5.0,5,"Rs. 6,10,000",Petrol,FWD (Front Wheel Drive),1199 cc,23.84 km/litre,930 kg,In-line,5.0,Hatchback,BS 6,Injection,35 litres,1535 mm,3746 mm,1647 mm,Ventilated Disc,Drum,Electric Power,86PS@6000rpm,114NM@3300rpm,Digital,Analog,Manual,2400 mm,Manual,2021-06-21
59,59,Tata,Tiago,Revotron Xza,3.0,5.0,5.0,5,"Rs. 6,20,000",Petrol,FWD (Front Wheel Drive),1199 cc,23.84 km/litre,930 kg,In-line,5.0,Hatchback,BS 6,Injection,35 litres,1535 mm,3746 mm,1647 mm,Solid Disc,Drum,Electric Power,86PS@6000rpm,114NM@3300rpm,Digital,Analog,AMT,2400 mm,Manual,2020-02-09
60,60,Tata,Tiago,Revotron Xza Plus,3.0,5.0,5.0,5,"Rs. 6,49,000",Petrol,FWD (Front Wheel Drive),1199 cc,23.84 km/litre,930 kg,In-line,5.0,Hatchback,BS 6,Injection,35 litres,1535 mm,3746 mm,1647 mm,Solid Disc,Drum,Electric Power,86PS@6000rpm,114NM@3300rpm,Digital,Analog,AMT,2400 mm,Manual,2021-02-28
61,61,Tata,Tiago,Revotron Xza Plus Dual Tone,3.0,5.0,5.0,5,"Rs. 6,60,000",Petrol,FWD (Front Wheel Drive),1199 cc,23.84 km/litre,930 kg,In-line,5.0,Hatchback,BS 6,Injection,35 litres,1535 mm,3746 mm,1647 mm,Solid Disc,Drum,Electric Power,86PS@6000rpm,114NM@3300rpm,Digital,Analog,AMT,2400 mm,Manual,2020-08-08
62,62,Maruti Suzuki,Celerio X,Vxi (O),3.0,5.0,5.0,5,"Rs. 4,81,074",Petrol,FWD (Front Wheel Drive),998 cc,23 km/litre,810 kg,In-line,5.0,Hatchback,BS IV,Injection,35 litres,1560 mm,3600 mm,1600 mm,Ventilated Disc,Drum,Electric Power,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,Manual,2425 mm,Manual,2020-03-12
63,63,Maruti Suzuki,Celerio X,Vxi,3.0,5.0,5.0,5,"Rs. 4,75,198",Petrol,FWD (Front Wheel Drive),998 cc,23 km/litre,810 kg,In-line,5.0,Hatchback,BS IV,Injection,35 litres,1560 mm,3600 mm,1600 mm,Ventilated Disc,Drum,Electric Power,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,Manual,2425 mm,Manual,2020-09-06
64,64,Maruti Suzuki,Celerio X,Vxi Amt,3.0,5.0,5.0,5,"Rs. 5,18,198",Petrol,FWD (Front Wheel Drive),998 cc,23 km/litre,810 kg,In-line,5.0,Hatchback,BS IV,Injection,35 litres,1560 mm,3600 mm,1600 mm,Ventilated Disc,Drum,Electric Power,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,Automatic,2425 mm,Manual,2020-03-02
65,65,Maruti Suzuki,Celerio X,Vxi Amt (O),3.0,5.0,5.0,5,"Rs. 5,24,074",Petrol,FWD (Front Wheel Drive),998 cc,23 km/litre,810 kg,In-line,5.0,Hatchback,BS IV,Injection,35 litres,1560 mm,3600 mm,1600 mm,Ventilated Disc,Drum,Electric Power,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,Automatic,2425 mm,Manual,2021-02-17
66,66,Maruti Suzuki,Celerio X,Zxi,3.0,5.0,5.0,5,"Rs. 4,99,734",Petrol,FWD (Front Wheel Drive),998 cc,23 km/litre,810 kg,In-line,5.0,Hatchback,BS IV,Injection,35 litres,1560 mm,3600 mm,1600 mm,Ventilated Disc,Drum,Electric Power,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,Manual,2425 mm,Manual,2021-05-14
67,67,Maruti Suzuki,Celerio X,Zxi (O),3.0,5.0,5.0,5,"Rs. 5,40,350",Petrol,FWD (Front Wheel Drive),998 cc,23 km/litre,810 kg,In-line,5.0,Hatchback,BS IV,Injection,35 litres,1560 mm,3600 mm,1600 mm,Ventilated Disc,Drum,Electric Power,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,Manual,2425 mm,Manual,2020-06-10
68,68,Maruti Suzuki,Celerio X,Zxi Amt,3.0,5.0,5.0,5,"Rs. 5,42,735",Petrol,FWD (Front Wheel Drive),998 cc,23 km/litre,810 kg,In-line,5.0,Hatchback,BS IV,Injection,35 litres,1560 mm,3600 mm,1600 mm,Ventilated Disc,Drum,Electric Power,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,Automatic,2425 mm,Manual,2019-07-24
